country,num_vaccines,2dose,1dose,vaccine_per_population,gdpPerCapita
Kyrgyzstan,5572850,47400,88178,0.8822286165441815,1324.7629
Laos,7665026,455128,753750,1.282243171518438,2983.0508
Latvia,1799254,483924,586919,1.7781875960263005,20408.7754
Lebanon,6502230,368851,761818,1.172341659338692,8955.3394
Lesotho,2063694,122,36637,0.9805452393089141,1339.46
Liberia,3871684,687,68134,0.7792494459412889,621.0181
Libya,5980204,0,351408,0.9214594005460695,7246.356
Liechtenstein,37935,10733,17873,2.0262212549492618,161926.2103
Lithuania,2195854,881300,1207804,1.8977611137090047,21414.4815
Luxembourg,486623,185008,283338,1.8211193400385957,116085.9716
Macao,650710,87506,204489,1.5865460727936895,94408.5153
Madagascar,26834984,0,188752,0.9759025480427427,476.3726
Malawi,21034314,37412,383273,1.1234951153831778,400.098
Malaysia,27631759,1612974,4202601,1.0832450771331075,12264.5418
Maldives,573146,182715,315156,2.3193979376255682,11429.0024
Mali,18429225,45464,130574,0.9209856245920538,926.9393
Malta,394122,288195,340540,2.969277912030421,36898.3522
Mauritania,3779490,6983,129020,0.8436049087460158,1193.0593
Mauritius,1395991,218501,380362,1.7403777578754598,12373.6388
Mexico,123858179,16526469,23504858,1.3993028986203373,9962.5973
Moldova,3244951,229967,401379,1.017923069695979,3179.1599
Monaco,39719,15129,18836,2.26309754357354,163701.27
Mongolia,3181291,1696245,1912235,2.588547938987741,4493.4519
Montenegro,657235,127663,147995,1.688616728921667,9139.3561
Morocco,33465399,8118841,9375240,1.600580543919168,3455.7962
Mozambique,31766041,74801,320129,1.0313653289419904,506.6062
Myanmar,51775947,1222723,1772177,1.0291082888496141,1302.8315
Namibia,2105823,19865,104199,0.8854098285815036,5653.2877
Nauru,10522,0,7438,1.6577441388222263,10757.6315
Nepal,28297463,731653,2500196,1.1072237219670733,1113.2296
Netherlands,15877567,4756088,8171902,1.9586748614944505,55606.2129
New Caledonia,252779,45891,55277,1.400527512250824,32772.8138
New Zealand,4010302,324514,567188,1.0838377158465797,46278.4451
Nicaragua,5638279,0,167500,0.8764030001114037,1858.8905
Niger,19762448,13395,172812,0.8246519673365601,422.9071
Nigeria,209616467,261670,1964095,1.0289333799819829,2346.8323
North Macedonia,2261274,199143,274710,1.408418051435648,6578.1324
Norway,5677933,1456471,2177852,1.9863948150626738,80251.133
Oman,3891871,184621,535578,0.9393080200570945,16111.8051
Pakistan,201884696,3379444,9371316,0.9869736038957369,1254.4675
Palestine,4041275,270795,445598,0.985699460698755,2565.1439
Panama,3768213,483297,929180,1.3126979248942237,17229.8617
Papua New Guinea,9485936,0,38176,1.0645001965457352,2425.0439
Paraguay,5702969,240330,422474,0.9261935105775931,6285.0797
Peru,25956704,2359228,3777819,1.0449211427227945,7319.1625
Philippines,97581662,0,8407342,0.9672198810588525,3503.4562
Poland,32511618,11190284,15304278,1.854762507759943,17019.1792
Portugal,9655270,2704559,4871089,1.955089716709522,24578.4661
Qatar,2540370,1265752,1620571,2.322910664824752,69614.7588
Romania,17368702,4355131,4381638,1.5833821351241797,13756.5929
Russia,128162180,15243990,19657314,1.2218325541479373,11427.845
Rwanda,13705865,228169,350400,1.1204731949584816,833.2007
Saint Kitts and Nevis,52605,10403,22012,1.793935178222289,20880.0239
Saint Lucia,153034,21115,30063,1.2270774224114926,11220.1735
Saint Vincent and the Grenadines,98829,0,23087,1.0988670265982856,8115.9056
Samoa,185730,0,40230,1.1388538884128825,4796.4267
San Marino,33205,22172,21892,2.9300783782191053,49151.8946
Sao Tome and Principe,191378,11544,12374,1.035038168287241,2359.3353
Saudi Arabia,29261250,0,16649095,1.31873730085773,22355.5951
Senegal,13191761,152337,480311,0.834735095046384,1631.8626
Serbia,5239655,2452243,2693998,1.8866864395770153,6540.4625
Seychelles,95745,67016,70660,3.0550844010575555,17581.9954
Sierra Leone,8247160,15170,82145,1.0479705051469947,518.4648
Singapore,4401230,1990940,2700446,1.894513877220532,66456.82
Sint Maarten,45609,15851,20358,2.277622312392146,24695.1773
Slovakia,5054158,1303959,1938210,1.7584091120976224,21498.8094
Slovenia,1567200,594862,799225,1.7105653287361011,28004.1987
Solomon Islands,644099,0,17000,0.9624693176954278,2282.6834
Somalia,14247939,24816,135107,0.9081028833743497,509.8565
South Africa,52137418,479768,1661856,0.9232847665325267,6440.942
South Korea,54748261,4047846,13898955,1.4968623159062238,33999.6818
South Sudan,9704033,2072,27338,0.8697293815135242,245.6645
Spain,36195744,13939564,21472576,1.8297047384435514,32026.3789
Sri Lanka,21783051,806252,2455180,1.2072308033577341,4183.8723
Sudan,47922969,102653,508271,1.1091757538763074,1845.66
Suriname,591032,31032,144662,1.3598904939025014,6622.1697
Sweden,8280389,2416335,4315017,1.7256768063434287,56762.8353
Switzerland,9009959,2486866,3918450,2.0685073564194285,84986.8063
Syria,17804618,0,71519,1.0214551945106976,1212.7072
Taiwan,23163486,0,1541732,1.0373032452966449,26564.4408
Tajikistan,9482234,13590,89121,1.0063844920998293,803.9282
Thailand,65684736,2101086,5486092,1.0798427472283731,7825.9378
Timor,1328147,6718,103813,1.0962909251980748,2539.6745
Togo,8412390,76462,270784,1.0673243998450488,723.2625
Tonga,114612,1349,28631,1.3807487440513921,4795.8037
Trinidad and Tobago,1183741,39142,176849,1.0281409455294819,16556.5155
Tunisia,12474372,417751,1165402,1.2247858421348419,2944.9304
Turkey,64641550,14490130,28123248,1.4435191463524253,9519.3901
Turkmenistan,5460013,9753,32240,0.9138763231848059,9326.5297
Turks and Caicos Islands,31750,15410,22700,2.202334831344594,23388.4044
Tuvalu,12049,0,4772,1.4264755766621438,4442.2094
Uganda,39658136,0,821659,0.88497835639798,713.444
Ukraine,35890993,360452,1726040,0.8766211246556693,3385.801
United Arab Emirates,8491112,0,14512626,2.3258652835072393,44953.0577
United Kingdom,54127317,31449915,43127763,2.3591742121100543,42914.5839
United States,303903640,149667646,168298762,2.330910948878303,66678.0263
Uruguay,3448844,1362473,2146891,2.3953180546427513,18197.4899
Uzbekistan,30136121,1002919,1692139,1.0109025316082407,1634.9124
Vanuatu,327586,0,5140,1.0832687611916,3160.9342
Venezuela,25827288,223858,1079134,0.9619564225459307,2442.2962
Vietnam,104489180,121683,2300960,1.0996000013684193,2876.3915
Yemen,32507336,0,251385,1.0983288455214597,1029.3323
Zambia,16648366,6215,142089,0.9139972375912997,1335.6834
Zimbabwe,15648026,435668,703065,1.158750695606592,1710.2907
