country,num_vaccines,2dose,1dose,vaccine_per_population,gdpPerCapita
Namibia,2105823,19865,104199,0.8854098285815036,5653.2877
Nauru,3396,0,7438,1.0,10757.6315
Nepal,25173306,731653,2500196,1.0,1113.2296
Netherlands,-549205,4756088,8171902,1.0,55606.2129
New Caledonia,138432,45891,55277,1.0,32772.8138
New Zealand,3606017,324514,567188,1.0,46278.4451
Nicaragua,5638279,0,167500,0.8764030001114037,1858.8905
Niger,19762448,13395,172812,0.8246519673365601,422.9071
Nigeria,203652152,261670,1964095,1.0,2346.8323
North Macedonia,1410384,199143,274710,1.0,6578.1324
Norway,330448,1456471,2177852,1.0,80251.133
Oman,3891871,184621,535578,0.9393080200570945,16111.8051
Pakistan,201884696,3379444,9371316,0.9869736038957369,1254.4675
Palestine,4041275,270795,445598,0.985699460698755,2565.1439
Panama,2418994,483297,929180,1.0,17229.8617
Papua New Guinea,8908851,0,38176,1.0,2425.0439
Paraguay,5702969,240330,422474,0.9261935105775931,6285.0797
Peru,24475571,2359228,3777819,1.0,7319.1625
Philippines,97581662,0,8407342,0.9672198810588525,3503.4562
Poland,161759,11190284,15304278,1.0,17019.1792
Portugal,-83500,2704559,4871089,1.0,24578.4661
Qatar,-1271015,1265752,1620571,1.0,69614.7588
Romania,6145782,4355131,4381638,1.0,13756.5929
Russia,95789166,15243990,19657314,1.0,11427.845
Rwanda,12145471,228169,350400,1.0,833.2007
Saint Kitts and Nevis,10374,10403,22012,1.0,20880.0239
Saint Lucia,111336,21115,30063,1.0,11220.1735
Saint Vincent and the Grenadines,87860,0,23087,1.0,8115.9056
Samoa,158180,0,40230,1.0,4796.4267
San Marino,-32298,22172,21892,1.0,49151.8946
Sao Tome and Principe,183699,11544,12374,1.0,2359.3353
Saudi Arabia,18164772,0,16649095,1.0,22355.5951
Senegal,13191761,152337,480311,0.834735095046384,1631.8626
Serbia,-793888,2452243,2693998,1.0,6540.4625
Seychelles,-106352,67016,70660,1.0,17581.9954
